StockName,Date,Open,High,Low,Close,Volume
Titan,4/12/2022 15:30:00,2480,2508.5,2440.25,2488.2,1182427
Titan,4/13/2022 15:30:00,2492.2,2495.95,2441.1,2461.35,1165453
Titan,4/18/2022 15:30:00,2435,2500,2410,2493.45,1109814
Titan,4/19/2022 15:30:00,2509.4,2520.6,2441,2452.6,929834
Titan,4/20/2022 15:30:00,2453.05,2505,2442.7,2482.7,639190
Titan,4/21/2022 15:30:00,2482.7,2524.95,2466,2521,880723
Titan,4/22/2022 15:30:00,2515,2526.45,2476.5,2512.7,878780
Titan,4/25/2022 15:30:00,2471,2489,2447.05,2453.9,682383
Titan,4/26/2022 15:30:00,2460,2552.15,2459,2548.2,1232557
Titan,4/27/2022 15:30:00,2528.65,2537.8,2488.25,2492.35,801135
Titan,4/28/2022 15:30:00,2529.9,2531,2477,2513.2,933881
Titan,4/29/2022 15:30:00,2521,2532,2450,2458.2,1496781
Titan,5/2/2022 15:30:00,2435,2437,2372.35,2386.55,1287401
Titan,5/4/2022 15:30:00,2356,2407,2275,2289.95,2357806
Titan,5/5/2022 15:30:00,2309,2309,2252.15,2262,2118580
Titan,5/6/2022 15:30:00,2240,2240,2195.45,2208.75,1465638
Titan,5/9/2022 15:30:00,2195,2213.35,2171,2183.2,968069
Titan,5/10/2022 15:30:00,2180,2186,2125,2137.35,1092429
Titan,5/11/2022 15:30:00,2127.2,2138,2095.75,2114.7,1472911
Titan,5/12/2022 15:30:00,2102,2103.9,2035.55,2048.55,1362031
Titan,5/13/2022 15:30:00,2056.15,2154,2056.15,2091.7,2580348
Titan,5/16/2022 15:30:00,2118,2152,2096.7,2109.6,1370151
Titan,5/17/2022 15:30:00,2145,2185,2111,2176.35,1256142
Titan,5/18/2022 15:30:00,2187,2194.3,2161,2166.75,1188772
Titan,5/19/2022 15:30:00,2125,2156.1,2055.1,2111.95,981115
Titan,5/20/2022 15:30:00,2139.9,2155.55,2129.2,2137.05,1017542
Titan,5/23/2022 15:30:00,2160,2200,2138,2151.3,1346294
Titan,5/24/2022 15:30:00,2151.65,2165,2121.35,2140.25,1150314
Titan,5/25/2022 15:30:00,2160,2181,2106,2113.4,1125068
Titan,5/26/2022 15:30:00,2132,2150.85,2075.5,2141.95,1382368
Titan,5/27/2022 15:30:00,2155,2159.95,2123.4,2149.2,865917
Titan,5/30/2022 15:30:00,2164,2260,2164,2255.9,1691435
Titan,5/31/2022 15:30:00,2254.9,2300,2176.6,2216,7005071
Titan,6/1/2022 15:30:00,2255,2304.9,2180,2197.6,2126105
Titan,6/2/2022 15:30:00,2176.6,2225.35,2176.6,2220.95,966727
Titan,6/3/2022 15:30:00,2231.65,2244.95,2197.75,2204.4,1228695
Titan,6/6/2022 15:30:00,2204.4,2208.95,2165.95,2198.55,1285097
Titan,6/7/2022 15:30:00,2173.55,2179.45,2088,2100.8,3255286
Titan,6/8/2022 15:30:00,2106.05,2133,2096.55,2128.85,1775344
Titan,6/9/2022 15:30:00,2106,2154,2103,2139.7,1035771
Titan,6/10/2022 15:30:00,2108,2166,2108,2142.25,927889
Titan,6/13/2022 15:30:00,2108,2124.45,2076.2,2102.4,928411
Titan,6/14/2022 15:30:00,2100,2116.9,2072.65,2102,893733
Titan,6/15/2022 15:30:00,2104,2127.5,2090,2105.05,783714
Titan,6/16/2022 15:30:00,2126.4,2145,2042.05,2060.95,1265289
Titan,6/17/2022 15:30:00,2041,2051.65,1910.55,1936.45,6066708
Titan,6/20/2022 15:30:00,1938,1973.45,1905.45,1961.7,1967950
Titan,6/21/2022 15:30:00,1979.9,2093.75,1966.5,2078.1,3289922
Titan,6/22/2022 15:30:00,2070,2070.95,2007,2031.2,1507811
Titan,6/23/2022 15:30:00,2040,2047.8,1997.15,2041.4,1632845
Titan,6/24/2022 15:30:00,2053.55,2076.4,2033.95,2045.6,854618
Titan,6/27/2022 15:30:00,2082,2083.65,2025,2040.3,1067849
Titan,6/28/2022 15:30:00,2020,2022,1960,1968.05,3397585
Titan,6/29/2022 15:30:00,1950,1954.3,1923,1936.15,2375427
Titan,6/30/2022 15:30:00,1950,1965.75,1926,1941.25,2489709
Titan,7/1/2022 15:30:00,1895,1954.35,1825.05,1946.2,4064801
Titan,7/4/2022 15:30:00,1954,1966.6,1928,1962.5,1023678
Titan,7/5/2022 15:30:00,1967,1989.1,1940.55,1954.25,1555345
Titan,7/6/2022 15:30:00,1958,2025.5,1941.35,2013.55,1952701
Titan,7/7/2022 15:30:00,2130,2171.6,2102.55,2127.5,5915740
Titan,7/8/2022 15:30:00,2140,2154,2110.5,2144.35,2039331
Titan,7/11/2022 15:30:00,2153,2173.85,2126.6,2163.6,1219508
Titan,7/12/2022 15:30:00,2132,2142,2114.45,2130,1096542
Titan,7/13/2022 15:30:00,2130,2141.8,2107.45,2111.4,1169721
Titan,7/14/2022 15:30:00,2132,2140,2113,2127.45,767221
Titan,7/15/2022 15:30:00,2135,2193.15,2132.2,2189.7,1742573
Titan,7/18/2022 15:30:00,2196,2247.3,2194.05,2237.45,2016386
Titan,7/19/2022 15:30:00,2232.5,2253,2216.7,2241.2,867223
Titan,7/20/2022 15:30:00,2280,2298,2261.1,2271.2,1620332
Titan,7/21/2022 15:30:00,2285,2298,2264,2288.6,1117118
Titan,7/22/2022 15:30:00,2299,2329.95,2283.1,2325,1185176
Titan,7/25/2022 15:30:00,2339.3,2348.8,2313,2328.85,1248393
Titan,7/26/2022 15:30:00,2334.95,2334.95,2286.55,2293.2,1142159
Titan,7/27/2022 15:30:00,2285.1,2311,2266.55,2303.55,1456382
Titan,7/28/2022 15:30:00,2321,2341.5,2305.05,2334.65,1126799
Titan,7/29/2022 15:30:00,2355,2392.5,2339.05,2352.05,1239445
Titan,8/1/2022 15:30:00,2364.8,2381.05,2339,2376.25,581266
Titan,8/2/2022 15:30:00,2370,2397.8,2357.05,2384.95,777687
Titan,8/3/2022 15:30:00,2395,2425.9,2355,2416.4,1207016
Titan,8/4/2022 15:30:00,2429.95,2430.45,2370.95,2423.65,1015590
Titan,8/5/2022 15:30:00,2425.2,2472.4,2417.35,2432.8,2443597
Titan,8/8/2022 15:30:00,2460,2474.7,2433.15,2446.95,1576547
Titan,8/10/2022 15:30:00,2469.9,2469.9,2417.1,2433.6,1065998
Titan,8/11/2022 15:30:00,2446.2,2486,2446.2,2472.35,1127878
Titan,8/12/2022 15:30:00,2472,2493,2461.9,2471.95,761420
Titan,8/16/2022 15:30:00,2461.1,2499.5,2435,2493.85,1035928
Titan,8/17/2022 15:30:00,2495,2523.15,2480.65,2492.2,863500
Titan,8/18/2022 15:30:00,2492.2,2503.9,2467.3,2478.7,827663
Titan,8/19/2022 15:30:00,2498.95,2498.95,2430.9,2440.6,751505
Titan,8/22/2022 15:30:00,2440,2458,2408,2417.6,947292
Titan,8/23/2022 15:30:00,2407,2501.95,2400,2480.2,1417877
Titan,8/24/2022 15:30:00,2495,2495,2441.05,2460.7,672569
Titan,8/25/2022 15:30:00,2473,2501.6,2456.7,2466.45,732577
Titan,8/26/2022 15:30:00,2483.05,2556,2481.55,2532.9,2398253
Titan,8/29/2022 15:30:00,2457.25,2540.9,2457.25,2531.7,1149676
Titan,8/30/2022 15:30:00,2545,2623.1,2543,2604.65,1794736
Titan,9/1/2022 15:30:00,2592.95,2647.15,2565.65,2622,1438313
Titan,9/2/2022 15:30:00,2631,2645,2607.05,2612.6,800453
Titan,9/5/2022 15:30:00,2625,2640,2610.85,2627.35,733481
Titan,9/6/2022 15:30:00,2631.7,2646.9,2611,2631.65,680071
Titan,9/7/2022 15:30:00,2607,2641.4,2600.4,2637.75,438635
Titan,9/8/2022 15:30:00,2649,2659.9,2616,2626.7,754150
Titan,9/9/2022 15:30:00,2652,2652.15,2593,2603.45,777186
Titan,9/12/2022 15:30:00,2616.8,2669.7,2610,2661.15,808360
Titan,9/13/2022 15:30:00,2680,2723,2672,2705.55,1536444
Titan,9/14/2022 15:30:00,2645,2712,2645,2700.6,915281
Titan,9/15/2022 15:30:00,2714.15,2717,2648,2656.15,753648
Titan,9/16/2022 15:30:00,2648,2677.65,2604.25,2611.8,1425731
Titan,9/19/2022 15:30:00,2611.75,2632,2552.55,2619.8,808421
Titan,9/20/2022 15:30:00,2642.2,2693.55,2635.1,2684,844553
Titan,9/21/2022 15:30:00,2688,2700,2656.65,2666.65,1052572
Titan,9/22/2022 15:30:00,2660,2744.95,2650,2737.6,1352472
Titan,9/23/2022 15:30:00,2737.6,2755.7,2667,2672.45,1226889
Titan,9/26/2022 15:30:00,2666,2677.95,2563.55,2655.5,1371409
Titan,9/27/2022 15:30:00,2669.95,2679.55,2585.55,2600.35,1246270
Titan,9/28/2022 15:30:00,2587.5,2634.5,2564.5,2576.95,1419969
Titan,9/29/2022 15:30:00,2594.85,2606.05,2517.35,2531.5,1177076
Titan,9/30/2022 15:30:00,2538,2637.4,2522.6,2606.95,1453944
Titan,10/3/2022 15:30:00,2625,2625,2555.6,2574.2,1049142
Titan,10/4/2022 15:30:00,2629,2629,2571.65,2585.1,1291070
Titan,10/6/2022 15:30:00,2598.05,2620,2581.6,2592.85,1409852
Titan,10/7/2022 15:30:00,2690,2745,2675,2730.5,5284814
Titan,10/10/2022 15:30:00,2710,2727.9,2658,2680.1,1290447
Titan,10/11/2022 15:30:00,2693,2694,2616.4,2624.5,1067626
Titan,10/12/2022 15:30:00,2630,2644.9,2606,2621.35,1131702
Titan,10/13/2022 15:30:00,2610,2628,2591,2598.65,1038687
Titan,10/14/2022 15:30:00,2640,2663.6,2607.75,2617.8,1326916
